37.41 Mbps,33.9 Mbps,43.27 Mbps,
44.17 Mbps,34.63 Mbps,61.53 Mbps,
40.93 Mbps,35.52 Mbps,52.45 Mbps,
49.55 Mbps,47.27 Mbps,52.46 Mbps,
38.0 Mbps,33.62 Mbps,42.8 Mbps,
44.7 Mbps,44.7 Mbps,44.7 Mbps,
49.66 Mbps,44.66 Mbps,54.98 Mbps,
49.65 Mbps,44.54 Mbps,54.16 Mbps,
49.34 Mbps,43.3 Mbps,55.65 Mbps,
37.21 Mbps,34.2 Mbps,39.82 Mbps,
49.6 Mbps,45.03 Mbps,54.03 Mbps,
49.88 Mbps,45.77 Mbps,53.98 Mbps,
31.09 Mbps,26.36 Mbps,34.45 Mbps,
29.07 Mbps,29.07 Mbps,29.07 Mbps,
32.42 Mbps,28.85 Mbps,35.98 Mbps,
31.01 Mbps,28.86 Mbps,33.17 Mbps,
24.78 Mbps,22.45 Mbps,26.54 Mbps,
35.93 Mbps,33.56 Mbps,38.3 Mbps,
23.76 Mbps,21.23 Mbps,25.71 Mbps,
37.27 Mbps,32.3 Mbps,43.13 Mbps,
26.76 Mbps,21.87 Mbps,36.47 Mbps,
24.95 Mbps,22.39 Mbps,27.85 Mbps,
25.68 Mbps,23.42 Mbps,27.27 Mbps,
24.55 Mbps,22.51 Mbps,25.77 Mbps,
24.81 Mbps,19.18 Mbps,27.91 Mbps,
24.66 Mbps,21.94 Mbps,26.57 Mbps,
31.73 Mbps,25.22 Mbps,57.02 Mbps,
29.56 Mbps,25.07 Mbps,42.49 Mbps,
24.21 Mbps,13.4 Mbps,31.98 Mbps,
24.53 Mbps,23.64 Mbps,25.26 Mbps,
25.48 Mbps,21.07 Mbps,33.6 Mbps,
24.89 Mbps,23.16 Mbps,25.84 Mbps,
26.71 Mbps,25.85 Mbps,27.58 Mbps,
31.53 Mbps,26.87 Mbps,33.87 Mbps,
25.77 Mbps,24.45 Mbps,28.26 Mbps,
25.2 Mbps,22.07 Mbps,28.41 Mbps,
25.47 Mbps,22.24 Mbps,29.23 Mbps,
40.53 Mbps,35.18 Mbps,45.88 Mbps,
